"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"RV1";"Potentiometer_Bourns_3269W_Vertical";1;"R_POT";;;
2;"R6,R5,R4";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"R";;;
3;"R3";"R_LDR_5.1x4.3mm_P3.4mm_Vertical";1;"LDR07";;;
4;"R2";"R_Axial_Power_L25.0mm_W6.4mm_P30.48mm";1;"R";;;
5;"R1";"R_Axial_DIN0614_L14.3mm_D5.7mm_P20.32mm_Horizontal";1;"R";;;
6;"Q2,Q1";"TO-92_Inline";2;"BC547";;;
7;"K1";"Relay_SPDT_Omron-G5LE-1";1;"G5LE-1";;;
8;"J2,J1";"PhoenixContact_MCV_1,5_2-G-3.5_1x02_P3.50mm_Vertical";2;"Conn_01x02";;;
9;"F1";"Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open";1;"Fuse";;;
10;"D6,D4,D3,D2,D1";"D_2114_3652Metric_Pad1.85x3.75mm_HandSolder";5;"DIODE";;;
11;"D5";"D_DO-34_SOD68_P10.16mm_Horizontal";1;"D_Zener";;;
12;"C3,C2";"CP_Radial_D5.0mm_P2.50mm";2;"CP1";;;
13;"C1";"C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4";1;"C";;;
